Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Amazonas,Ancash,Apurimac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huanuco,Ica,Junin,La Libertad,Lambayeque,Lima,Loreto,Madre de Dios,Moquegua,Pasco,Piura,Puno,San Martin,Tacna,Tumbes,Ucayali,Unknown
12-01-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-02-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-03-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-04-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-05-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-06-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-08-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-09-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-11-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-12-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-13-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-14-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-15-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-16-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-17-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-18-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-19-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-20-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-21-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-22-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-23-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-24-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-25-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-26-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-27-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-28-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-29-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
12-30-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
